파일명,카테고리,판정,사유,깃잡음,메치기시도,메치기기술,V넥,색상트림,전자호구,헤드기어,높은발차기,회전발차기,손기술중심,낮은자세손기술,깃형여밈,두꺼운캔버스,여밈,질의,메모
space\pexels-5750642.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-5992851.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-6339397.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-6339487.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-6339715.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-6339731.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-6388514.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
space\pexels-6539268.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-6539271.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-6550853.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-6582974.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-6713387.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-6739958.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
space\pexels-6815664.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-6958069.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-7045445.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-7045554.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-7045578.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-7045580.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-7186299.jpg,space,,,,,,,,,,,,,,,,,wooden floor gymnasium,
space\pexels-7186312.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
space\pexels-7201556.jpg,space,,,,,,,,,,,,,,,,,wooden floor gymnasium,
space\pexels-7318759.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-7318772.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-7319690.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-7513413.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-8038507.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-8041990.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-8042000.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-8436574.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-8611297.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
space\pexels-8853911.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-917660.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-9545907.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
space\pexels-9944634.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
sparring\pexels-10355224.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo competition,
sparring\pexels-10655516.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo sparring,
sparring\pexels-11045336.jpg,sparring,,,,,,,,,,,,,,,,,martial arts fighter kick,
sparring\pexels-14796331.jpg,sparring,,,,,,,,,,,,,,,,,high kick martial arts,
